<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: bossbase_split_manifest_v4.csv>
index,image,split,rank_hash
0,1.pgm,holdout,ef2e24d43daa79015f78d1b7f6a7dcb74a8510e3d8a458aaf4773d8952b8fbf5
1,2.pgm,holdout,c7c021eb75084965511c353b64d7b90e15333a7634d0f6d2217c33ef9b1366a4
2,3.pgm,calibration,80116bb51c0e2e6e3132a51b4f903aa95a17404096cc411a617b2707e3b3a707
3,4.pgm,fit,09431b9f123d152b87b70dd0dbfbcb6532deeddb05a2f011f4f79903c8980219
4,5.pgm,calibration,726c97e4f467ed21ec4ba10c59406e8d40d679c9a6dadf71df533317e01619ca
5,6.pgm,fit,2f11640c67fb04133a56fd3d275b6ee0dae96131ffb6184eb53bba0a83b7d7f9
6,7.pgm,holdout,f65bf3bfb3cc320ae8a4240b3ddf5298dbefbf2f38aaceff7cf3c7e317a6f9ae
7,8.pgm,holdout,edb4b896a6de6bf29ba07c0bb559d4a4b5ca47f8ace87c9636b948c0b4abeade
8,9.pgm,holdout,d8c998f1dde4dbc034e2f545595862497a906ed975d0e83386774a332261c93e
9,10.pgm,fit,061014536e972ae1a1a2b4ec6eb4280523f827e5d16e8e560194b3eee2912c06
10,11.pgm,fit,0d98d1450333b08025cc6b11016b3fa68d8f1119a3b76d674650f9f86b34e1c0
11,12.pgm,calibration,7a1f505804146303fb0b4d160138739e0f5d29a8dd4ea1d7ca75f2700faa4a1e
12,13.pgm,fit,381bd32c643f81a9b7d4e8813678371b399417e10c18d63927b7c53fa8a61d4f
13,14.pgm,calibration,6df48480295df61b7fb0d4b00af23ecdcb149597d29dee6adb9bc6cc4157914d
14,15.pgm,fit,243f8925e204f52cf12d29d1021859791a16561c8bdd872fe448bc5619ba000a
15,16.pgm,holdout,bd91092caa9f846ac126b0780249db9fac44a5d159ae9b429d9d3b8562ed2316
16,17.pgm,fit,2ca772396f259fb1993b2605446a642680493c09ce41ea07e1b479bae17761bc
17,18.pgm,holdout,dcaefb780bfd1514b968547b752c305bfb3fd30bfeb66bb5f2d167cd08ffc48e
18,19.pgm,holdout,b38d63d780a559c586b8f03565c3a60d0fcefce57d9a959616938b9e8523480c
19,20.pgm,holdout,9ba988f19d42a7471f4ff1f8084ecdbd46c2110f01e31fdb7c38b4b7fa2e79ac
20,21.pgm,holdout,a941384d280d8cc3f647e8c625b9e7454acb926488f292d6fbb16afe823164c3
21,22.pgm,holdout,8174cdc20055fd8cec92d75c6bd0fb7e1b2c77c8a0d283b517834ba14cebb2e4
22,23.pgm,fit,3b9c619bb17410ae326d22c73d4fa951f2e70d791640782e6a7716e8e2be2bd0
23,24.pgm,fit,08d56f55a5053186b7a49b741cde72833618d5376e15a41daeea28711177c947
24,25.pgm,fit,0faae03b36c11e315e504babc1706ae23a9dd66481ddc056fa78a608e0ed6930
25,26.pgm,fit,187651215bd3e147cfd75dea0ee66b7f9587ed7af2b046df64b6a7b547bdf625
26,27.pgm,holdout,fc6acfe60219f87bb516ef2accc38849c4040fcfed2976bc625283e48bb82cd9
27,28.pgm,holdout,9d0dd26abca2b2bf04c36db7c88ef3248aa60d2cb14880d187ffc67bf53c4899
28,29.pgm,holdout,f7d38c961b9053b60a5a10e78c856b6095186f25b6a4b9830fe928899d3f5ff8
